model,response,question,references,benchmark,Mistral-7B,Llama-7B,Llama-13B,Llama3-8B,Gemma-2B,Llama-70B,EM,Llama3-70B,GPT-4,JudgeLM,Contains,HumanJudgement
gpt-4t,"Q: Can you name the actress who links 'The Darling Buds of May' and 'Rosemary and Thyme'?
A: Pam Ferris

Q: A neologism is a new?
A: Word/expression

Q: Who, in 2010, became the first person from outside the British Isles to win the World Snooker Championship title since Cliff Thorburn in 1980, and the first non British player to win the title since Ken Doherty in 1997?
A: Neil Robertson

Q: Which German Nazi leader flew solo from Ausberg in 1941 and landed by parachute near Glasgow on a private peace mission?
A: Hess

Q: Where would you find Narita airport?
A: Tokyo, Japan

Q: In which London building do you find the Jerusalem Chamber?
A:",In which London building do you find the Jerusalem Chamber?,"Westminster Abbey
Westminster Abbey
Abbey of Westminster
Westminister abby
St. Peter, Westminster
Westminster Palace, Westminster Abbey and Saint Margaret's Church
St. Peter's, Westminster
Collegiate Church of St Peter, Westminster
Westminster Abbey and St. Margaret's Church - Westminster Palace, Westminster Abbey and Saint Margaret's Church
St Peter's Monastery, Westminster",triviaQA-400-v1.5.0,True,True,False,False,True,True,True,True,True,True,True,True
gpt-4t,"Q: Can you name the actress who links 'The Darling Buds of May' and 'Rosemary and Thyme'?
A: Pam Ferris

Q: A neologism is a new?
A: Word/expression

Q: Who, in 2010, became the first person from outside the British Isles to win the World Snooker Championship title since Cliff Thorburn in 1980, and the first non British player to win the title since Ken Doherty in 1997?
A: Neil Robertson

Q: Which German Nazi leader flew solo from Ausberg in 1941 and landed by parachute near Glasgow on a private peace mission?
A: Hess

Q: Where would you find Narita airport?
A: Tokyo, Japan

Q: Which cartoon title character has a friend called Captain Haddock?
A:",Which cartoon title character has a friend called Captain Haddock?,"Tin Tin
Tin-tin
Tin-Tin
Tin tin
TinTin
TINTIN
Tintin (disambiguation)
Tin Tin
Tintin (TV series)
Tintin",triviaQA-400-v1.5.0,True,True,True,True,True,True,True,True,True,True,True,True
gpt-4t,"Q: Can you name the actress who links 'The Darling Buds of May' and 'Rosemary and Thyme'?
A: Pam Ferris

Q: A neologism is a new?
A: Word/expression

Q: Who, in 2010, became the first person from outside the British Isles to win the World Snooker Championship title since Cliff Thorburn in 1980, and the first non British player to win the title since Ken Doherty in 1997?
A: Neil Robertson

Q: Which German Nazi leader flew solo from Ausberg in 1941 and landed by parachute near Glasgow on a private peace mission?
A: Hess

Q: Where would you find Narita airport?
A: Tokyo, Japan

Q: What is the small club used for killing landed fish called
A:",What is the small club used for killing landed fish called,"A priest
The Priest
Priest (disambiguation)
Priest (movie)
Priest (film)
A priest",triviaQA-400-v1.5.0,False,False,False,False,True,False,False,True,True,False,False,True
gpt-4t,"Q: Can you name the actress who links 'The Darling Buds of May' and 'Rosemary and Thyme'?
A: Pam Ferris

Q: A neologism is a new?
A: Word/expression

Q: Who, in 2010, became the first person from outside the British Isles to win the World Snooker Championship title since Cliff Thorburn in 1980, and the first non British player to win the title since Ken Doherty in 1997?
A: Neil Robertson

Q: Which German Nazi leader flew solo from Ausberg in 1941 and landed by parachute near Glasgow on a private peace mission?
A: Hess

Q: Where would you find Narita airport?
A: Tokyo, Japan

Q: What did Thomas Chippendale design?
A:",What did Thomas Chippendale design?,"Furniture
Furniture industry
Oak furniture
Office furniture
Bedroom set (group)
Furniture design
Home furnishing
Furniture Industry
Home furnishings
Furniture Design",triviaQA-400-v1.5.0,True,True,True,True,True,True,False,True,True,True,False,True
gpt-4t,"Q: Can you name the actress who links 'The Darling Buds of May' and 'Rosemary and Thyme'?
A: Pam Ferris

Q: A neologism is a new?
A: Word/expression

Q: Who, in 2010, became the first person from outside the British Isles to win the World Snooker Championship title since Cliff Thorburn in 1980, and the first non British player to win the title since Ken Doherty in 1997?
A: Neil Robertson

Q: Which German Nazi leader flew solo from Ausberg in 1941 and landed by parachute near Glasgow on a private peace mission?
A: Hess

Q: Where would you find Narita airport?
A: Tokyo, Japan

Q: ""Which author famously upset her publisher by beginning a book with """"I am quite tired of making goody goody books about nice people""""?""
A:","""Which author famously upset her publisher by beginning a book with """"I am quite tired of making goody goody books about nice people""""?""","Beatrix Potter
Beatrix Potter bibliography
Beatrix Potter Society
Beatrix pottrer
Helen Beatrix Potter
Beatrix Potter
Mrs william heelis
Beatix potter",triviaQA-400-v1.5.0,False,False,False,False,True,False,False,False,False,False,False,False
gpt-4t,"Q: Can you name the actress who links 'The Darling Buds of May' and 'Rosemary and Thyme'?
A: Pam Ferris

Q: A neologism is a new?
A: Word/expression

Q: Who, in 2010, became the first person from outside the British Isles to win the World Snooker Championship title since Cliff Thorburn in 1980, and the first non British player to win the title since Ken Doherty in 1997?
A: Neil Robertson

Q: Which German Nazi leader flew solo from Ausberg in 1941 and landed by parachute near Glasgow on a private peace mission?
A: Hess

Q: Where would you find Narita airport?
A: Tokyo, Japan

Q: Which giant hunter of Greek mythology was shot dead with an arrow fired by the goddess Artemis?
A:",Which giant hunter of Greek mythology was shot dead with an arrow fired by the goddess Artemis?,"ORION
Orion (music)
Orion (song)
Orion Class Spaceship
Orions (disambiguation)
Orion-class spaceship
Orion (system)
ORION
Orions
Orion",triviaQA-400-v1.5.0,True,True,False,True,True,True,True,True,True,False,True,True
gpt-4t,"Q: Can you name the actress who links 'The Darling Buds of May' and 'Rosemary and Thyme'?
A: Pam Ferris

Q: A neologism is a new?
A: Word/expression

Q: Who, in 2010, became the first person from outside the British Isles to win the World Snooker Championship title since Cliff Thorburn in 1980, and the first non British player to win the title since Ken Doherty in 1997?
A: Neil Robertson

Q: Which German Nazi leader flew solo from Ausberg in 1941 and landed by parachute near Glasgow on a private peace mission?
A: Hess

Q: Where would you find Narita airport?
A: Tokyo, Japan

Q: Terry Scott starred as middle-aged, suburban husband, Terry Fletcher, in which television comedy series?
A:","Terry Scott starred as middle-aged, suburban husband, Terry Fletcher, in which television comedy series?","'HAPPY EVER AFTER'
Happy Ever After (disambiguation)
'HAPPY EVER AFTER'
Happy Ever After",triviaQA-400-v1.5.0,True,False,False,False,True,False,False,False,False,False,False,False
gpt-4t,"Q: Can you name the actress who links 'The Darling Buds of May' and 'Rosemary and Thyme'?
A: Pam Ferris

Q: A neologism is a new?
A: Word/expression

Q: Who, in 2010, became the first person from outside the British Isles to win the World Snooker Championship title since Cliff Thorburn in 1980, and the first non British player to win the title since Ken Doherty in 1997?
A: Neil Robertson

Q: Which German Nazi leader flew solo from Ausberg in 1941 and landed by parachute near Glasgow on a private peace mission?
A: Hess

Q: Where would you find Narita airport?
A: Tokyo, Japan

Q: What was the objective in 1956 of what the government called 'Operation Musketeer'?
A:",What was the objective in 1956 of what the government called 'Operation Musketeer'?,"(The retaking of the) SUEZ CANAL
(The retaking of the) SUEZ CANAL",triviaQA-400-v1.5.0,True,True,True,True,True,True,False,True,True,False,False,True
gpt-4t,"Q: Can you name the actress who links 'The Darling Buds of May' and 'Rosemary and Thyme'?
A: Pam Ferris

Q: A neologism is a new?
A: Word/expression

Q: Who, in 2010, became the first person from outside the British Isles to win the World Snooker Championship title since Cliff Thorburn in 1980, and the first non British player to win the title since Ken Doherty in 1997?
A: Neil Robertson

Q: Which German Nazi leader flew solo from Ausberg in 1941 and landed by parachute near Glasgow on a private peace mission?
A: Hess

Q: Where would you find Narita airport?
A: Tokyo, Japan

Q: In the game of Bingo, ‘Get up and run’ represents which number?
A:","In the game of Bingo, ‘Get up and run’ represents which number?","31
31
thirty-one",triviaQA-400-v1.5.0,True,True,True,True,True,True,True,True,True,False,True,True
gpt-4t,"Q: Can you name the actress who links 'The Darling Buds of May' and 'Rosemary and Thyme'?
A: Pam Ferris

Q: A neologism is a new?
A: Word/expression

Q: Who, in 2010, became the first person from outside the British Isles to win the World Snooker Championship title since Cliff Thorburn in 1980, and the first non British player to win the title since Ken Doherty in 1997?
A: Neil Robertson

Q: Which German Nazi leader flew solo from Ausberg in 1941 and landed by parachute near Glasgow on a private peace mission?
A: Hess

Q: Where would you find Narita airport?
A: Tokyo, Japan

Q: Which 5th/6th Century Buddhist monk is described in Chinese texts as ‘The Blue-Eyed Barbarian’?
A:",Which 5th/6th Century Buddhist monk is described in Chinese texts as ‘The Blue-Eyed Barbarian’?,"Bodhidharma
Da mo
Bodhi-Dharma
Tamo
Bodidarma
Bodhiharma
Da Mo's cave
Bodhidarma
Bodhi Dharma
Bodhidharma at Shaolin",triviaQA-400-v1.5.0,True,True,True,True,True,True,True,True,True,True,True,True
